timeTick, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
474300, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0
474310, 0.0, 0.0, 0.0, 0.0, 2.042368173599243, -0.5129692554473877, 0.0064812214113771915, -0.0011196755804121494, 0.1139056533575058, 0.13647565245628357
474320, 0.0, 0.0, 0.0, 0.0, 2.0423614978790283, -0.5118424892425537, 0.0035835951566696167, 6.383961590472609e-05, 0.22204868495464325, 0.2409980148077011
474330, 0.0, 0.0, 0.0, 0.0, 2.0423080921173096, -0.5095895528793335, 0.0007958071655593812, 0.001379680004902184, 0.3317791223526001, 0.3267814517021179
474340, 0.0, 0.0, 0.0, 0.0, 2.042275905609131, -0.507120668888092, -0.0033668228425085545, 0.004666686989367008, 0.43343639373779297, 0.42148274183273315
474350, 0.0, 0.0, 0.0, 0.0, 2.0422160625457764, -0.5045167803764343, -0.007884584367275238, 0.008247236721217632, 0.5336481332778931, 0.5154191851615906
474360, 0.0, 0.0, 0.0, 0.0, 2.042109251022339, -0.5001072883605957, -0.013777084648609161, 0.011911241337656975, 0.6431102752685547, 0.6187448501586914
474371, 0.0, 0.0, 0.0, 0.0, 2.0419809818267822, -0.49506905674934387, -0.020776592195034027, 0.014859122224152088, 0.738556981086731, 0.7346372008323669
474380, 0.0, 0.0, 0.0, 0.0, 2.041823387145996, -0.49029842019081116, -0.027182914316654205, 0.017979441210627556, 0.8368548154830933, 0.8253450393676758
474391, 0.0, 0.0, 0.0, 0.0, 2.041595697402954, -0.48491770029067993, -0.03405889868736267, 0.02068384736776352, 0.9334760904312134, 0.915043294429779
474400, 0.0, 0.0, 0.0, 0.0, 2.0413646697998047, -0.4795536398887634, -0.041029058396816254, 0.023121032863855362, 1.0270874500274658, 1.0014605522155762
474411, 0.0, 0.0, 0.0, 0.0, 2.0410408973693848, -0.47196266055107117, -0.049886930733919144, 0.02516314573585987, 1.1299060583114624, 1.0970624685287476
474420, 0.0, 0.0, 0.0, 0.0, 2.0406887531280518, -0.46085646748542786, -0.059740059077739716, 0.027427395805716515, 1.2369155883789062, 1.1743005514144897
474430, 0.0, 0.0, 0.0, 0.0, 2.040283441543579, -0.451925128698349, -0.06965366750955582, 0.02874278649687767, 1.3358309268951416, 1.2649834156036377
474440, 0.0, 0.0, 0.0, 0.0, 2.039947271347046, -0.4447932243347168, -0.07799211144447327, 0.029187874868512154, 1.4191532135009766, 1.3387736082077026
474450, 0.0, 0.0, 0.0, 0.0, 2.0395987033843994, -0.4373413622379303, -0.08657944202423096, 0.029316846281290054, 1.4996840953826904, 1.4088633060455322
474460, 0.0, 0.0, 0.0, 0.0, 2.03926157951355, -0.4297519326210022, -0.09528610110282898, 0.028803210705518723, 1.5771082639694214, 1.4743361473083496
474471, 0.0, 0.0, 0.0, 0.0, 2.0389413833618164, -0.4220646023750305, -0.104080431163311, 0.027609223499894142, 1.6514575481414795, 1.5348525047302246
474482, 0.0, 0.0, 0.0, 0.0, 2.03841233253479, -0.41052910685539246, -0.11900794506072998, 0.02720823511481285, 1.7368896007537842, 1.6362046003341675
474490, 0.0, 0.0, 0.0, 0.0, 2.0381360054016113, -0.40259891748428345, -0.12809495627880096, 0.02557993493974209, 1.8061598539352417, 1.687564730644226
474500, 0.0, 0.0, 0.0, 0.0, 2.037905216217041, -0.39436787366867065, -0.13815712928771973, 0.023282794281840324, 1.8768247365951538, 1.7364975214004517
474510, 0.0, 0.0, 0.0, 0.0, 2.0377063751220703, -0.38526177406311035, -0.14909039437770844, 0.02070579119026661, 1.9482389688491821, 1.7879372835159302
474520, 0.0, 0.0, 0.0, 0.0, 2.0377259254455566, -0.3797036111354828, -0.15687209367752075, 0.017517706379294395, 2.000385046005249, 1.8133233785629272
474530, 0.0, 0.0, 0.0, 0.0, 2.0378174781799316, -0.3745191693305969, -0.16455772519111633, 0.013920910656452179, 2.0489935874938965, 1.835357904434204
474540, 0.0, 0.0, 0.0, 0.0, 2.0375521183013916, -0.36064839363098145, -0.1758490800857544, 0.011786973103880882, 2.1248717308044434, 1.8670631647109985
474550, 0.0, 0.0, 0.0, 0.0, 2.0377726554870605, -0.35586613416671753, -0.1834493726491928, 0.007510084193199873, 2.169374942779541, 1.8828498125076294
474560, 0.0, 0.0, 0.0, 0.0, 2.038097381591797, -0.35295239090919495, -0.18970425426959991, 0.0028400730807334185, 2.205120325088501, 1.8848333358764648
474570, 0.0, 0.0, 0.0, 0.0, 2.038482427597046, -0.3503967821598053, -0.1958073079586029, -0.0018473045201972127, 2.2384657859802246, 1.8858914375305176
474580, 0.0, 0.0, 0.0, 0.0, 2.0384621620178223, -0.3400591313838959, -0.21285948157310486, -0.0054794480092823505, 2.303206443786621, 1.96298348903656
474590, 0.0, 0.0, 0.0, 0.0, 2.0389320850372314, -0.33786022663116455, -0.21880240738391876, -0.010530565865337849, 2.3336684703826904, 1.9624354839324951
474600, 0.0, 0.0, 0.0, 0.0, 2.0394186973571777, -0.33585456013679504, -0.22452574968338013, -0.015583876520395279, 2.3624649047851562, 1.961194396018982
474610, 0.0, 0.0, 0.0, 0.0, 2.0399527549743652, -0.33564293384552, -0.22877655923366547, -0.020710866898298264, 2.3833048343658447, 1.9491747617721558
474620, 0.0, 0.0, 0.0, 0.0, 2.040485382080078, -0.33539238572120667, -0.23296616971492767, -0.025716722011566162, 2.403562545776367, 1.9393240213394165
474630, 0.0, 0.0, 0.0, 0.0, 2.0404608249664307, -0.32308948040008545, -0.24426069855690002, -0.02887837216258049, 2.4683403968811035, 1.9553231000900269
474640, 0.0, 0.0, 0.0, 0.0, 2.0409584045410156, -0.3228054642677307, -0.24853521585464478, -0.033715423196554184, 2.4882194995880127, 1.94858980178833
474650, 0.0, 0.0, 0.0, 0.0, 2.041407585144043, -0.3223772943019867, -0.2527487576007843, -0.03810618445277214, 2.5079190731048584, 1.9436384439468384
474660, 0.0, 0.0, 0.0, 0.0, 2.041837453842163, -0.3218608498573303, -0.2569166421890259, -0.042413704097270966, 2.527205228805542, 1.9403215646743774
474670, 0.0, 0.0, 0.0, 0.0, 2.042022943496704, -0.31294482946395874, -0.2737751007080078, -0.04583296924829483, 2.5809850692749023, 2.0136613845825195
474680, 0.0, 0.0, 0.0, 0.0, 2.042447090148926, -0.3139100670814514, -0.27659958600997925, -0.04938337579369545, 2.5934691429138184, 2.0039525032043457
474690, 0.0, 0.0, 0.0, 0.0, 2.0428049564361572, -0.3145448565483093, -0.279544860124588, -0.05258084461092949, 2.6068198680877686, 1.9972240924835205
474701, 0.0, 0.0, 0.0, 0.0, 2.043148994445801, -0.3165435194969177, -0.28109318017959595, -0.05560953915119171, 2.6144087314605713, 1.9825080633163452
474710, 0.0, 0.0, 0.0, 0.0, 2.043393850326538, -0.3164273798465729, -0.2843369245529175, -0.057925641536712646, 2.6299564838409424, 1.9814741611480713
